iter	Logloss
0	0.6904661238
1	0.6877455027
2	0.6855012204
3	0.6829014948
4	0.6812360002
5	0.677864567
6	0.6755654408
7	0.6739374408
8	0.6712921059
9	0.6686261779
10	0.6666319314
11	0.6645918049
12	0.6612425514
13	0.658573791
14	0.6549793281
15	0.6528057022
16	0.6507090483
17	0.6485998402
18	0.646044738
19	0.6438778054
20	0.6410871043
21	0.6389234172
22	0.6368304634
23	0.6348088261
24	0.6325373095
25	0.6304876236
26	0.628499149
27	0.6264755455
28	0.6243507411
29	0.6220181131
30	0.6194856524
31	0.6171272533
32	0.6148720292
33	0.6120661862
34	0.6103903584
35	0.6082361694
36	0.6061318602
37	0.6041567971
38	0.6017273213
39	0.599168685
40	0.5973898606
41	0.5946084815
42	0.5924018414
43	0.5907870906
44	0.5893257268
45	0.5867831784
46	0.58494765
47	0.5832740686
48	0.5824982433
49	0.580608584
50	0.5784820695
51	0.5772074766
52	0.5751061217
53	0.5728090827
54	0.5708909721
55	0.5692263824
56	0.5675816121
57	0.5655403679
58	0.5633477125
59	0.5605785614
60	0.5584998744
61	0.5562756178
62	0.5544747259
63	0.5526920772
64	0.5515319773
65	0.5492397364
66	0.5475258457
67	0.5458522701
68	0.5444294952
69	0.54225832
70	0.5409106469
71	0.5389467378
72	0.5374717615
73	0.5359585404
74	0.5344290773
75	0.532963968
76	0.5313260863
77	0.5302464184
78	0.5286130532
79	0.5270143008
80	0.5256195772
81	0.5237861248
82	0.5219231908
83	0.5199791442
84	0.5182800386
85	0.5161560031
86	0.5140939188
87	0.5124038248
88	0.5103706365
89	0.5087686848
90	0.5076045578
91	0.5058789812
92	0.504433076
93	0.5028032558
94	0.5012528484
95	0.4996767747
96	0.4980163815
97	0.4966561654
98	0.4950420933
99	0.4939206921
100	0.4922514063
101	0.4907136528
102	0.4889585881
103	0.4873963104
104	0.485548955
105	0.4841215787
106	0.4828131595
107	0.4812747903
108	0.4803024693
109	0.4788208396
110	0.4779424938
111	0.4763711226
112	0.4748647401
113	0.4739656992
114	0.4723749766
115	0.4712479822
116	0.4695456737
117	0.468290848
118	0.4665631282
119	0.4653259962
120	0.4639539704
121	0.463487884
122	0.4619629652
123	0.4605403351
124	0.458996364
125	0.4585250972
126	0.4573384816
127	0.4561264022
128	0.454894854
129	0.45344964
130	0.4519821441
131	0.4507233969
132	0.4495574206
133	0.4481216015
134	0.4469925277
135	0.4450664938
136	0.4438604267
137	0.4423363037
138	0.4410036202
139	0.4399289492
140	0.438827454
141	0.4379015069
